date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:51	3270/3270	---M--	200	added ('OK')	text/plain	etag:%226a7c6316-cc6%22	https://www.growtopiagame.com/robots.txt		(from )
12:06:52	34329/34329	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202026%2005:06:51%20GMT	https://www.growtopiagame.com/	C:/Download/gtps/web/www.growtopiagame.com/index.html	(from )
12:06:52	4032/4032	---M--	200	added ('OK')	text/css	etag:%22011cd7deb65a43ee18676208a8208449%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/animate/animate.min.css	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/animate/animate.min.css	(from https://www.growtopiagame.com/)
12:06:53	3415/3415	---M--	200	added ('OK')	text/css	etag:%226dfec1c70c2838e366d36c2e273e7024%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/FlexSlider/css/flexslider.min.css	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/FlexSlider/css/flexslider.min.css	(from https://www.growtopiagame.com/)
12:06:54	147518/147518	---M--	200	added ('OK')	text/css	etag:%22e14331b47849659606ee1d2ed5d136f1%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/main-min.css	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/main-min.css	(from https://www.growtopiagame.com/)
12:06:55	4111/4111	---M--	200	added ('OK')	text/css	etag:%22bcc83348a0d66e8d6dd13a62da8c902e%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/hamburger-style-min.css	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/hamburger-style-min.css	(from https://www.growtopiagame.com/)
12:06:56	3554/3554	---M--	200	added ('OK')	text/css	etag:%22dc386572302f069945741ee3b604a588%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/slick-min.css	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/slick-min.css	(from https://www.growtopiagame.com/)
12:06:56	2048/2048	---M--	200	added ('OK')	text/css	etag:%2255eae4deaa42d3e5661638b54b3e6efd%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/set2-min.css	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/set2-min.css	(from https://www.growtopiagame.com/)
12:06:57	4927/4927	---M--	200	added ('OK')	text/css	etag:%22ecfd962e279b1f731828fefc9fce0246%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/magnific-popup/magnific-popup-min.css	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/magnific-popup/magnific-popup-min.css	(from https://www.growtopiagame.com/)
12:06:58	21460/21460	---M--	200	added ('OK')	text/css	etag:%2267fc857cd40debfe691a827f63ca5676%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css	(from https://www.growtopiagame.com/)
12:06:59	12175/12175	---M--	200	added ('OK')	image/png	etag:%229f9c7702659ad772e2a9b4dc6cfb5ef2%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/logo_navibar.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/logo_navibar.png	(from https://www.growtopiagame.com/)
12:07:00	1081/1081	---M--	200	added ('OK')	image/png	etag:%223ecee3353b4892e80a73a21b6d537ec6%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_youtube.png	C:/Download/gtps/web/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/grow_youtube.png	(from https://www.growtopiagame.com/)
